"ID" "Sex" "BleedTime" "Age" "Weight" "rawDOB" "timeDOB" "normBleed" "residNormBleed"
"155" 21282 "M" 1.5 126 26 "2017-01-17" 72 -0.446949062026105 -0.440084218611953
"156" 21283 "M" 2 126 22 "2017-01-17" 72 0.10436893498713 0.111233778401282
"157" 21284 "M" 1.5 123 18 "2017-01-20" 72 -0.446949062026105 -0.439975145541671
"158" 21285 "M" 2 123 18 "2017-01-20" 72 0.10436893498713 0.111342851471564
"159" 21286 "F" 1 122 16 "2017-01-20" 72 -1.20237274604628 -1.0267414548147
"160" 21287 "M" 1 123 20 "2017-01-20" 72 -1.20237274604628 -1.19539882956184
"161" 21288 "M" 8 116 21 "2017-01-27" 72 1.69182103958333 1.69904945989842
"162" 21290 "F" 2.7 115 19 "2017-01-27" 72 0.610453084087264 0.786338879149496
"163" 21291 "F" 2.2 118 17 "2017-01-24" 72 0.368036058310642 0.543812780302592
"164" 21292 "M" 3 119 21 "2017-01-24" 72 0.758147443144371 0.765266790389182
"165" 21293 "F" 2 118 20 "2017-01-24" 72 0.10436893498713 0.28014565697908
"166" 21294 "F" 2 118 19 "2017-01-24" 72 0.10436893498713 0.28014565697908
"167" 21295 "F" 2 118 18 "2017-01-24" 72 0.10436893498713 0.28014565697908
"168" 21296 "F" 2.3 117 22 "2017-01-25" 72 0.408891009167623 0.584704088849668
"169" 21298 "F" 1 105 17 "2017-02-06" 73 -1.20237274604628 -1.00621193030266
"170" 21299 "M" 1.5 106 22 "2017-02-06" 73 -0.446949062026105 -0.419445621029623
"171" 21300 "M" 1.5 106 21 "2017-02-06" 73 -0.446949062026105 -0.419445621029623
"172" 21301 "F" 3 105 18 "2017-02-06" 73 0.758147443144371 0.954308258887992
"173" 21302 "M" 1.5 106 21 "2017-02-06" 73 -0.446949062026105 -0.419445621029623
"174" 21307 "M" 1.5 102 16 "2017-02-10" 73 -0.446949062026105 -0.419300190269247
"175" 21308 "M" 1.5 102 20 "2017-02-10" 73 -0.446949062026105 -0.419300190269247
"176" 21309 "M" 2 102 15 "2017-02-10" 73 0.10436893498713 0.132017806743988
"177" 21310 "F" 1.5 97 16 "2017-02-14" 73 -0.446949062026105 -0.250497384761731
"178" 21311 "M" 1 98 18 "2017-02-14" 73 -1.20237274604628 -1.17457844352904
"179" 21312 "F" 2 97 24 "2017-02-14" 73 0.10436893498713 0.300820612251504
"180" 21313 "M" 0.5 98 20 "2017-02-14" 73 -2.80460782910334 -2.7768135265861
"181" 21314 "M" 2.5 98 19 "2017-02-14" 73 0.517891453898414 0.545685756415649
"182" 21315 "M" 3.5 98 17 "2017-02-14" 73 0.954065718000542 0.981860020517776
"183" 21316 "M" 1.5 98 18 "2017-02-14" 73 -0.446949062026105 -0.419154759508871
"184" 21319 "F" 1.5 88 17 "2017-02-23" 73 -0.446949062026105 -0.250170165550884
"185" 21320 "M" 1.5 89 17 "2017-02-23" 73 -0.446949062026105 -0.418827540298024
"186" 21321 "M" 1 89 17 "2017-02-23" 73 -1.20237274604628 -1.1742512243182
"187" 21322 "F" 3.5 84 15 "2017-02-27" 73 0.954065718000542 1.15099004523614
"188" 21323 "F" 1 84 15 "2017-02-27" 73 -1.20237274604628 -1.00544841881068
"189" 21324 "M" 1.5 85 18 "2017-02-27" 73 -0.446949062026105 -0.418682109537647
"190" 21325 "F" 1 84 20 "2017-02-27" 73 -1.20237274604628 -1.00544841881068
"191" 21326 "F" 1 84 15 "2017-02-27" 73 -1.20237274604628 -1.00544841881068
"192" 21328 "F" 9 89 16 "2017-02-22" 73 2.13518879331661 2.33193133210174
"193" 21330 "M" 4 90 15 "2017-02-22" 73 1.08690660805893 1.11499177209691
"194" 21331 "M" 2 90 19 "2017-02-22" 73 0.10436893498713 0.132454099025118
"195" 21333 "M" 1 76 23 "2017-03-08" 74 -1.20237274604628 -1.15386713056652
"196" 21335 "M" 3 76 22 "2017-03-08" 74 0.758147443144371 0.806653058624124
"197" 21336 "M" 1.5 76 19 "2017-03-08" 74 -0.446949062026105 -0.398443446546352
"198" 21337 "M" 1 75 19 "2017-03-09" 74 -1.20237274604628 -1.15383077287643
"199" 21338 "M" 2 77 18 "2017-03-09" 74 0.10436893498713 0.152838192776789
"200" 21339 "M" 2.5 64 20 "2017-03-22" 74 0.517891453898414 0.566833361659297
"201" 21345 "M" 2 65 22 "2017-03-21" 74 0.10436893498713 0.153274485057918
"202" 21346 "M" 1.5 65 19 "2017-03-21" 74 -0.446949062026105 -0.398043511955317
"203" 21347 "M" 3 65 16 "2017-03-21" 74 0.758147443144371 0.807052993215159
"204" 21348 "M" 1 65 17 "2017-03-21" 74 -1.20237274604628 -1.15346719597549
"205" 21350 "M" 1.5 65 17 "2017-03-21" 74 -0.446949062026105 -0.398043511955317
"206" 21351 "M" 1.5 64 20 "2017-03-22" 74 -0.446949062026105 -0.398007154265223
"207" 21352 "M" 2 64 22 "2017-03-22" 74 0.10436893498713 0.153310842748012
"208" 21353 "M" 1 64 21 "2017-03-22" 74 -1.20237274604628 -1.1534308382854
"209" 21356 "M" 1 64 16 "2017-03-22" 74 -1.20237274604628 -1.1534308382854
"210" 21357 "M" 5 64 16 "2017-03-22" 74 1.24921375660039 1.29815566436127
"211" 21359 "M" 1 61 19 "2017-03-25" 74 -1.20237274604628 -1.15332176521511
"212" 21362 "M" 1 64 13 "2017-03-22" 74 -1.20237274604628 -1.1534308382854
"213" 21366 "M" 1 64 19 "2017-03-22" 74 -1.20237274604628 -1.1534308382854
"214" 21367 "M" 2 64 21 "2017-03-22" 74 0.10436893498713 0.153310842748012
"215" 21370 "M" 1 65 20 "2017-03-21" 74 -1.20237274604628 -1.15346719597549
"216" 20617 "F" 2.5 661 21 "2015-08-03" 55 0.517891453898414 0.335431405901651
"217" 22053 "M" 1.5 51 13 "2017-09-03" 80 -0.446949062026105 -0.278065841611312
"218" 21888 "M" 2 102 18 "2017-07-14" 78 0.10436893498713 0.231575025646228
"219" 21571 "M" 2.5 167 21 "2017-05-10" 76 0.517891453898414 0.6029114071405
"220" 22056 "M" 1.5 51 16 "2017-09-03" 80 -0.446949062026105 -0.278065841611312
"221" 22051 "M" 3.5 51 15 "2017-09-03" 80 0.954065718000542 1.12294893841533
"222" 22055 "M" 2.5 51 13 "2017-09-03" 80 0.517891453898414 0.686774674313207
"223" 21641 "M" 3 153 21 "2017-05-24" 76 0.758147443144371 0.843676404047774
"224" 21657 "M" 2.5 144 21 "2017-06-02" 77 0.517891453898414 0.623659077793112
"225" 21652 "M" 3.5 151 22 "2017-05-26" 76 0.954065718000542 1.03966739428413
"226" 21655 "M" 1.5 151 25 "2017-05-26" 76 -0.446949062026105 -0.361347385742514
